Customer,State,Customer Lifetime Value,Coverage,Effective To Date,Employment Status,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Renew Offer Type,Total Claim Amount,Vehicle Class,Client Type,Response_No,Response_Yes,Education_Bachelor,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Gender_F,Gender_M,Location Code_Rural,Location Code_Suburban,Location Code_Urban,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,Policy_Corporate L1,Policy_Corporate L2,Policy_Corporate L3,Policy_Personal L1,Policy_Personal L2,Policy_Personal L3,Policy_Special L1,Policy_Special L2,Policy_Special L3,Sales Channel_Agent,Sales Channel_Branch,Sales Channel_Call Center,Sales Channel_Web,Vehicle Size_Large,Vehicle Size_Medsize,Vehicle Size_Small,vehicle_class_map,coverage_map,policy_map,renew_offer_type_map,employment_status_map
FQ61281,Oregon,83325.38,Extended,2011-01-31,Employed,58958,231,31,74,0,2,Personal Auto,Offer1,1108.8,Luxury Car,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,2,1,2.0,3
YC54142,Washington,74228.52,Extended,2011-01-26,Unemployed,0,242,1,34,0,2,Personal Auto,Offer1,1742.4,Luxury Car,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,2,1,2.0,2
BP23267,California,73225.96,Extended,2011-09-02,Employed,39547,202,11,21,0,2,Personal Auto,Offer1,969.6,Luxury SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,2,1,2.0,3
KH55886,Oregon,67907.27,Premium,2011-05-02,Employed,78310,192,34,18,1,2,Personal Auto,Offer1,151.71,Sports Car,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,3,1,2.0,3
SK66747,Washington,66025.75,Basic,2011-02-22,Employed,33481,188,28,46,0,2,Personal Auto,Offer1,1194.89,Luxury SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,2.0,3
FB95288,California,64618.76,Extended,2011-01-17,Unemployed,0,217,14,40,1,2,Personal Auto,Offer1,1562.4,Luxury Car,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2,1,2.0,2
AZ84403,Oregon,61850.19,Extended,2011-04-02,Unemployed,0,238,19,29,0,2,Personal Auto,Offer3,1142.4,Luxury SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,2,1,1.5,2
US30122,California,61134.68,Basic,2011-02-28,Unemployed,0,198,2,75,0,2,Corporate Auto,Offer2,2275.27,Luxury Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,1,1.0,2
JT47995,Arizona,60556.19,Extended,2011-01-01,Unemployed,0,204,35,45,0,2,Personal Auto,Offer1,979.2,Luxury SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,2,1,2.0,2
EN65835,Arizona,58753.88,Premium,2011-06-01,Employed,24964,185,0,84,0,2,Personal Auto,Offer2,888.0,SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,3,1,1.0,3
